Date --- Time, Charging State, Battery Level
08/05/2019 16:03:13.949, Unplugged,76
08/05/2019 16:03:18.875,Plugged,76
08/05/2019 16:03:27.304, Unplugged,76
08/05/2019 16:04:00.842, Unplugged,76
08/05/2019 16:09:00.844, Unplugged,75
08/05/2019 16:14:00.844, Unplugged,73
08/05/2019 16:19:00.844, Unplugged,73
08/05/2019 16:24:00.844, Unplugged,71
08/05/2019 16:29:00.844, Unplugged,70
08/05/2019 16:34:00.844, Unplugged,68
08/05/2019 16:39:00.845, Unplugged,68
08/05/2019 16:44:00.847, Unplugged,67
08/05/2019 16:49:00.848, Unplugged,67
08/05/2019 16:54:00.850, Unplugged,67
08/05/2019 16:59:00.850, Unplugged,66
08/05/2019 17:04:17.536, Unplugged,65
08/05/2019 17:09:17.539, Unplugged,64
08/05/2019 17:14:17.542, Unplugged,63
08/05/2019 17:19:17.544, Unplugged,62
08/05/2019 17:24:17.545, Unplugged,61
08/05/2019 17:29:17.546, Unplugged,61
08/05/2019 17:58:47.933, Unplugged,59
08/05/2019 18:03:47.935, Unplugged,58
08/05/2019 18:08:47.935, Unplugged,58
08/05/2019 18:13:47.935, Unplugged,58
08/05/2019 18:18:47.936, Unplugged,57
08/05/2019 18:23:47.939, Unplugged,56
08/05/2019 18:28:47.940, Unplugged,56
08/05/2019 18:33:47.941, Unplugged,55
08/05/2019 18:38:47.942, Unplugged,54
08/05/2019 18:43:47.943, Unplugged,52
08/05/2019 18:48:47.944, Unplugged,50
08/05/2019 18:53:47.946, Unplugged,48
08/05/2019 18:58:47.948, Unplugged,47
08/05/2019 19:03:47.949, Unplugged,45
08/05/2019 19:08:47.950, Unplugged,44
08/05/2019 19:13:47.951, Unplugged,44
08/05/2019 19:49:21.157, Unplugged,42
08/05/2019 19:50:30.958,Plugged,41
08/05/2019 19:50:31.250,Plugged,41
08/06/2019 06:05:32.951, Unplugged,100
08/06/2019 06:05:57.159, Unplugged,100
08/06/2019 06:10:57.159, Unplugged,99
08/06/2019 06:16:43.696, Unplugged,98
08/06/2019 06:21:43.697, Unplugged,97
08/06/2019 06:26:43.703, Unplugged,95
08/06/2019 06:31:43.702, Unplugged,94
08/06/2019 06:36:43.705, Unplugged,93
08/06/2019 06:41:43.706, Unplugged,92
08/06/2019 06:46:43.707, Unplugged,90
08/06/2019 06:51:43.707, Unplugged,89
08/06/2019 06:56:43.707, Unplugged,88
08/06/2019 07:01:43.709, Unplugged,86
08/06/2019 07:06:43.711, Unplugged,85
08/06/2019 07:11:43.714, Unplugged,84
08/06/2019 07:16:43.715, Unplugged,83
08/06/2019 07:21:43.716, Unplugged,82
08/06/2019 07:26:43.717, Unplugged,81
08/06/2019 07:31:43.719, Unplugged,80
08/06/2019 07:36:43.746, Unplugged,80
08/06/2019 07:41:43.747, Unplugged,79
08/06/2019 07:46:43.747, Unplugged,79
08/06/2019 07:51:43.749, Unplugged,78
08/06/2019 07:56:43.748, Unplugged,77
08/06/2019 08:01:43.751, Unplugged,76
08/06/2019 08:56:50.087, Unplugged,74
08/06/2019 09:03:13.740, Unplugged,74
08/06/2019 09:08:13.741, Unplugged,73
08/06/2019 09:13:13.743, Unplugged,73
08/06/2019 09:18:13.745, Unplugged,72
08/06/2019 09:23:13.747, Unplugged,72
08/06/2019 09:28:13.749, Unplugged,71
08/06/2019 09:33:13.751, Unplugged,71
08/06/2019 09:38:13.752, Unplugged,69
08/06/2019 09:43:13.754, Unplugged,69
08/06/2019 09:48:13.756, Unplugged,67
08/06/2019 10:08:00.772, Unplugged,66
08/06/2019 10:13:00.774, Unplugged,65
08/06/2019 10:18:00.775, Unplugged,65
08/06/2019 10:23:00.777, Unplugged,64
08/06/2019 10:28:00.777, Unplugged,64
08/06/2019 10:33:00.778, Unplugged,63
08/06/2019 10:38:00.780, Unplugged,62
08/06/2019 10:43:00.782, Unplugged,62
08/06/2019 10:48:00.783, Unplugged,61
08/06/2019 10:53:00.784, Unplugged,60
08/06/2019 10:58:00.785, Unplugged,60
08/06/2019 11:03:00.786, Unplugged,59
08/06/2019 11:08:00.788, Unplugged,58
08/06/2019 11:13:00.789, Unplugged,58
08/06/2019 11:18:00.790, Unplugged,57
08/06/2019 11:23:00.791, Unplugged,57
08/06/2019 11:28:00.792, Unplugged,56
08/06/2019 11:33:00.795, Unplugged,56
08/06/2019 11:38:00.796, Unplugged,55
08/06/2019 11:43:00.799, Unplugged,55
08/06/2019 11:48:00.800, Unplugged,54
08/06/2019 11:53:00.802, Unplugged,53
08/06/2019 11:58:00.804, Unplugged,53
08/06/2019 12:19:44.448, Unplugged,52
08/06/2019 12:24:44.449, Unplugged,51
08/06/2019 12:29:44.451, Unplugged,50
08/06/2019 12:34:44.451, Unplugged,49
08/06/2019 12:39:44.452, Unplugged,47
08/06/2019 12:44:44.453, Unplugged,46
08/06/2019 12:49:44.455, Unplugged,46
08/06/2019 12:54:44.456, Unplugged,45
08/06/2019 12:59:44.458, Unplugged,45
08/06/2019 13:04:44.458, Unplugged,44
08/06/2019 13:09:44.460, Unplugged,44
08/06/2019 13:14:44.462, Unplugged,43
08/06/2019 13:19:44.464, Unplugged,42
08/06/2019 13:24:44.466, Unplugged,42
08/06/2019 13:29:44.466, Unplugged,41
08/06/2019 13:34:44.467, Unplugged,41
08/06/2019 13:39:44.469, Unplugged,40
08/06/2019 13:44:44.471, Unplugged,40
08/06/2019 13:49:44.473, Unplugged,39
08/06/2019 13:54:44.474, Unplugged,38
08/06/2019 13:59:44.475, Unplugged,38
08/06/2019 14:04:44.476, Unplugged,37
08/06/2019 14:09:44.478, Unplugged,37
08/06/2019 14:14:44.477, Unplugged,36
08/06/2019 14:19:44.480, Unplugged,36
08/06/2019 14:24:44.480, Unplugged,35
08/06/2019 14:29:44.482, Unplugged,35
08/06/2019 14:34:44.483, Unplugged,34
08/06/2019 14:39:44.485, Unplugged,33
08/06/2019 14:44:44.487, Unplugged,33
08/06/2019 14:49:44.487, Unplugged,31
08/06/2019 14:54:44.489, Unplugged,30
08/06/2019 14:59:44.491, Unplugged,29
08/06/2019 15:04:44.492, Unplugged,28
08/06/2019 15:09:44.492, Unplugged,26
08/06/2019 15:14:44.494, Unplugged,25
08/06/2019 15:19:44.496, Unplugged,25
08/06/2019 15:24:44.497, Unplugged,24
08/06/2019 15:29:44.499, Unplugged,23
08/06/2019 15:34:44.499, Unplugged,23
08/06/2019 15:39:44.500, Unplugged,22
08/06/2019 15:44:44.502, Unplugged,21
08/06/2019 15:49:44.502, Unplugged,20
08/06/2019 15:54:44.503, Unplugged,19
08/06/2019 15:59:44.503, Unplugged,18
08/06/2019 16:04:44.505, Unplugged,18
08/06/2019 16:09:44.505, Unplugged,17
08/06/2019 16:14:44.507, Unplugged,16
08/06/2019 16:37:00.731, Unplugged,14
08/06/2019 16:42:00.731, Unplugged,13
08/06/2019 16:47:00.733, Unplugged,13
08/06/2019 16:52:00.735, Unplugged,12
08/06/2019 16:57:00.736, Unplugged,11
08/06/2019 17:02:00.737, Unplugged,11
08/06/2019 17:07:00.738, Unplugged,10
08/06/2019 17:12:00.739, Unplugged,9
08/06/2019 17:17:00.740, Unplugged,9
08/06/2019 17:22:00.742, Unplugged,8
08/06/2019 17:27:00.743, Unplugged,6
08/06/2019 17:32:00.744, Unplugged,5
08/06/2019 17:37:00.746, Unplugged,4
08/06/2019 17:42:00.748, Unplugged,2
08/06/2019 19:12:13.554, Unplugged,2
08/06/2019 19:12:20.523,Plugged,3
08/06/2019 19:12:23.935, Unplugged,3
08/06/2019 19:17:23.937, Unplugged,9
08/06/2019 19:22:23.939, Unplugged,13
08/06/2019 19:27:23.940, Unplugged,20
08/06/2019 19:32:23.943, Unplugged,27
08/06/2019 19:37:23.944, Unplugged,35
08/06/2019 19:42:23.944, Unplugged,44
08/06/2019 19:47:23.945, Unplugged,54
08/06/2019 19:52:23.946, Unplugged,64
08/06/2019 19:57:23.948, Unplugged,75
08/06/2019 20:02:23.948, Unplugged,85
08/06/2019 20:07:23.949, Unplugged,92
08/06/2019 20:12:23.950, Unplugged,97
08/06/2019 20:17:23.952, Unplugged,100
08/06/2019 20:22:23.954, Unplugged,100
08/06/2019 20:27:23.956, Unplugged,100
08/06/2019 20:32:23.957, Unplugged,100
08/06/2019 20:37:23.957, Unplugged,100
08/06/2019 20:42:23.960, Unplugged,100
08/06/2019 20:47:23.961, Unplugged,100
08/06/2019 20:52:23.962, Unplugged,100
08/06/2019 20:57:23.964, Unplugged,100
