Screen, Action, Date --- Time
Main Activity,Started Heart Rate Timer at,08/05/2019 16:03:13.346
Main Activity,Started Accelerometer Sensor at,08/05/2019 16:03:13.396
Main Activity,Started Pedometer Sensor at,08/05/2019 16:03:13.441
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:03:13.964
Estimote Timer,Started Estimote Service at,08/05/2019 16:03:14.350
Estimote Timer,Starting the Estimote,08/05/2019 16:03:14.512
Main Thread,Uploading to BESI Basestation at,08/05/2019 16:03:18.508
Main Thread,Enabled an Internet Connection at,08/05/2019 16:03:18.645
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 16:03:18.694
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 16:03:18.697
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 16:03:18.700
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:03:19.278
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 16:03:19.334
Main Activity,Started Heart Rate Timer at,08/05/2019 16:03:26.670
Main Activity,Started Accelerometer Sensor at,08/05/2019 16:03:26.692
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:03:27.315
Estimote Timer,Started Estimote Service at,08/05/2019 16:03:27.421
Estimote Timer,No Activity at 1,08/05/2019 16:03:27.474
Estimote Sensor,Killed Sensor at,08/05/2019 16:03:32.608
Estimote Service,Killed Estimote Service at,08/05/2019 16:03:32.629
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:03:57.593
Main Thread,Wifi is disabled at,08/05/2019 16:03:58.496
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 16:03:58.526
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 16:03:58.527
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 16:03:58.528
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:03:58.607
Main Activity,Restarted Heart Rate Timer at,08/05/2019 16:04:00.751
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 16:04:00.778
Main Activity,Restarted Estimote Timer at,08/05/2019 16:04:00.803
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:04:00.850
Estimote Timer,Started Estimote Service at,08/05/2019 16:04:00.960
Estimote Timer,No Activity at 1,08/05/2019 16:04:01.001
Estimote Sensor,Killed Sensor at,08/05/2019 16:04:16.038
Estimote Service,Killed Estimote Service at,08/05/2019 16:04:16.057
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:04:31.024
Estimote Timer,Started Estimote Service at,08/05/2019 16:06:00.963
Estimote Timer,No Activity at 2,08/05/2019 16:06:00.979
Estimote Sensor,Killed Sensor at,08/05/2019 16:06:16.008
Estimote Service,Killed Estimote Service at,08/05/2019 16:06:16.022
Estimote Timer,Started Estimote Service at,08/05/2019 16:08:00.963
Estimote Timer,No Activity at 3,08/05/2019 16:08:00.978
Estimote Sensor,Killed Sensor at,08/05/2019 16:08:16.008
Estimote Service,Killed Estimote Service at,08/05/2019 16:08:16.019
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:09:00.847
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:09:30.918
Estimote Timer,Started Estimote Service at,08/05/2019 16:10:00.963
Estimote Timer,No Activity at 4,08/05/2019 16:10:00.982
Estimote Sensor,Killed Sensor at,08/05/2019 16:10:16.011
Estimote Service,Killed Estimote Service at,08/05/2019 16:10:16.025
Estimote Timer,Started Estimote Service at,08/05/2019 16:12:00.963
Estimote Timer,No Activity at 5,08/05/2019 16:12:00.980
Estimote Timer,Stopped the Estimote Timer,08/05/2019 16:12:00.990
Estimote Timer,Stopped Estimote Timer at,08/05/2019 16:12:01.001
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:14:00.847
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:14:30.910
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:19:00.846
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:19:30.909
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:24:00.847
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:24:30.928
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:29:00.847
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:29:30.954
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:34:00.847
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:34:31.067
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:39:00.848
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:39:30.921
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:44:00.849
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:44:30.927
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:49:00.851
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:49:30.925
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:54:00.852
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:54:30.909
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 16:59:00.853
Main Activity,Restarted Estimote Timer at,08/05/2019 16:59:08.384
Estimote Timer,Started Estimote Service at,08/05/2019 16:59:08.531
Estimote Timer,No Activity at 1,08/05/2019 16:59:08.590
Estimote Sensor,Killed Sensor at,08/05/2019 16:59:23.693
Estimote Service,Killed Estimote Service at,08/05/2019 16:59:23.707
Heart Rate Sensor,Killed Sensor at,08/05/2019 16:59:30.930
Main Activity,Failed to unregister battery information at,08/05/2019 16:59:40.410
Main Activity,Failed to unregister battery information at,08/05/2019 17:00:21.901
Estimote Timer,Started Estimote Service at,08/05/2019 17:01:25.218
Estimote Timer,No Activity at 2,08/05/2019 17:01:25.234
Main Activity,Failed to unregister battery information at,08/05/2019 17:01:37.841
Estimote Sensor,Killed Sensor at,08/05/2019 17:01:40.266
Estimote Service,Killed Estimote Service at,08/05/2019 17:01:40.279
Main Activity,Failed to unregister battery information at,08/05/2019 17:02:39.153
Estimote Timer,Started Estimote Service at,08/05/2019 17:03:25.219
Estimote Timer,No Activity at 3,08/05/2019 17:03:25.237
Main Activity,Failed to unregister battery information at,08/05/2019 17:03:26.117
Estimote Sensor,Killed Sensor at,08/05/2019 17:03:40.263
Estimote Service,Killed Estimote Service at,08/05/2019 17:03:40.276
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:04:17.539
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:04:47.614
Estimote Timer,Started Estimote Service at,08/05/2019 17:05:25.222
Estimote Timer,No Activity at 4,08/05/2019 17:05:25.238
Estimote Sensor,Killed Sensor at,08/05/2019 17:05:40.264
Estimote Service,Killed Estimote Service at,08/05/2019 17:05:40.277
Main Activity,Failed to unregister battery information at,08/05/2019 17:07:10.762
Estimote Timer,Started Estimote Service at,08/05/2019 17:07:25.222
Estimote Timer,No Activity at 5,08/05/2019 17:07:25.236
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:07:25.245
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:07:25.257
Main Activity,Restarted Estimote Timer at,08/05/2019 17:07:46.387
Estimote Timer,Started Estimote Service at,08/05/2019 17:07:46.495
Estimote Timer,No Activity at 1,08/05/2019 17:07:46.548
Estimote Sensor,Killed Sensor at,08/05/2019 17:08:01.587
Estimote Service,Killed Estimote Service at,08/05/2019 17:08:01.603
Main Activity,Failed to unregister battery information at,08/05/2019 17:08:16.267
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:09:17.543
Main Activity,Failed to unregister battery information at,08/05/2019 17:09:28.213
Estimote Timer,Started Estimote Service at,08/05/2019 17:09:46.497
Estimote Timer,No Activity at 2,08/05/2019 17:09:46.590
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:09:47.615
Estimote Sensor,Killed Sensor at,08/05/2019 17:10:01.617
Estimote Service,Killed Estimote Service at,08/05/2019 17:10:01.629
Estimote Timer,Started Estimote Service at,08/05/2019 17:11:46.499
Estimote Timer,No Activity at 3,08/05/2019 17:11:46.513
Estimote Sensor,Killed Sensor at,08/05/2019 17:12:01.563
Estimote Service,Killed Estimote Service at,08/05/2019 17:12:01.575
Main Activity,Failed to unregister battery information at,08/05/2019 17:12:58.577
Estimote Timer,Started Estimote Service at,08/05/2019 17:13:46.502
Estimote Timer,No Activity at 4,08/05/2019 17:13:46.515
Estimote Sensor,Killed Sensor at,08/05/2019 17:14:01.539
Estimote Service,Killed Estimote Service at,08/05/2019 17:14:01.551
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:14:17.545
Main Activity,Failed to unregister battery information at,08/05/2019 17:14:42.106
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:14:47.630
Estimote Timer,Started Estimote Service at,08/05/2019 17:15:46.504
Estimote Timer,No Activity at 5,08/05/2019 17:15:46.520
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:15:46.531
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:15:46.543
Main Activity,Restarted Estimote Timer at,08/05/2019 17:16:37.348
Estimote Timer,Started Estimote Service at,08/05/2019 17:16:37.460
Estimote Timer,No Activity at 1,08/05/2019 17:16:37.504
Estimote Sensor,Killed Sensor at,08/05/2019 17:16:52.555
Estimote Service,Killed Estimote Service at,08/05/2019 17:16:52.567
Main Activity,Failed to unregister battery information at,08/05/2019 17:17:07.282
Estimote Timer,Started Estimote Service at,08/05/2019 17:18:37.460
Estimote Timer,No Activity at 2,08/05/2019 17:18:37.472
Estimote Sensor,Killed Sensor at,08/05/2019 17:18:52.498
Estimote Service,Killed Estimote Service at,08/05/2019 17:18:52.511
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:19:17.546
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:19:47.618
Estimote Timer,Started Estimote Service at,08/05/2019 17:20:37.461
Estimote Timer,No Activity at 3,08/05/2019 17:20:37.474
Estimote Sensor,Killed Sensor at,08/05/2019 17:20:52.499
Estimote Service,Killed Estimote Service at,08/05/2019 17:20:52.510
Main Activity,Failed to unregister battery information at,08/05/2019 17:22:03.501
Estimote Timer,Started Estimote Service at,08/05/2019 17:22:37.461
Estimote Timer,No Activity at 4,08/05/2019 17:22:37.477
Estimote Sensor,Killed Sensor at,08/05/2019 17:22:52.506
Estimote Service,Killed Estimote Service at,08/05/2019 17:22:52.519
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:24:17.548
Estimote Timer,Started Estimote Service at,08/05/2019 17:24:37.462
Estimote Timer,No Activity at 5,08/05/2019 17:24:37.475
Estimote Timer,Stopped the Estimote Timer,08/05/2019 17:24:37.485
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:24:37.500
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:24:47.604
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:29:17.549
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:29:47.627
Estimote Timer,Started Estimote Service at,08/05/2019 17:32:10.240
Estimote Timer,No Activity at 1,08/05/2019 17:32:10.253
Main Thread,Wifi is disabled at,08/05/2019 17:32:12.036
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/05/2019 17:32:12.084
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/05/2019 17:32:12.085
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/05/2019 17:32:12.086
Estimote Timer,Stopped Estimote Timer at,08/05/2019 17:32:12.171
Estimote Timer,Started Estimote Service at,08/05/2019 17:32:12.223
Estimote Timer,No Activity at 1,08/05/2019 17:32:12.236
Estimote Sensor,Killed Sensor at,08/05/2019 17:33:40.273
Estimote Service,Killed Estimote Service at,08/05/2019 17:33:40.285
Estimote Sensor,Killed Sensor at,08/05/2019 17:33:40.285
Main Thread,Wifi is disabled at,08/05/2019 17:58:47.824
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/05/2019 17:58:47.862
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/05/2019 17:58:47.863
Sleep Button,Started Estimote Sensor while NOT charging at,08/05/2019 17:58:47.864
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 17:58:47.936
Estimote Timer,Started Estimote Service at,08/05/2019 17:58:47.967
Estimote Timer,No Activity at 2,08/05/2019 17:58:47.985
Estimote Timer,Started Estimote Service at,08/05/2019 17:58:48.776
Estimote Timer,No Activity at 3,08/05/2019 17:58:48.791
Estimote Sensor,Killed Sensor at,08/05/2019 17:59:03.022
Estimote Service,Killed Estimote Service at,08/05/2019 17:59:03.033
Heart Rate Sensor,Killed Sensor at,08/05/2019 17:59:18.008
Estimote Timer,Started Estimote Service at,08/05/2019 18:00:47.967
Estimote Timer,No Activity at 4,08/05/2019 18:00:47.982
Estimote Timer,Started Estimote Service at,08/05/2019 18:00:48.777
Estimote Timer,No Activity at 5,08/05/2019 18:00:48.790
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:00:48.798
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:00:48.809
Estimote Sensor,Killed Sensor at,08/05/2019 18:01:03.008
Estimote Service,Killed Estimote Service at,08/05/2019 18:01:03.020
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:03:47.937
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:04:18.011
Estimote Timer,Started Estimote Service at,08/05/2019 18:06:31.340
Estimote Timer,No Activity at 1,08/05/2019 18:06:31.362
Estimote Sensor,Killed Sensor at,08/05/2019 18:06:46.387
Estimote Service,Killed Estimote Service at,08/05/2019 18:06:46.409
Estimote Timer,Started Estimote Service at,08/05/2019 18:08:31.340
Estimote Timer,No Activity at 2,08/05/2019 18:08:31.433
Estimote Sensor,Killed Sensor at,08/05/2019 18:08:46.463
Estimote Service,Killed Estimote Service at,08/05/2019 18:08:46.474
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:08:47.937
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:09:18.011
Estimote Timer,Started Estimote Service at,08/05/2019 18:10:31.342
Estimote Timer,No Activity at 3,08/05/2019 18:10:31.356
Estimote Sensor,Killed Sensor at,08/05/2019 18:10:46.384
Estimote Service,Killed Estimote Service at,08/05/2019 18:10:46.414
Estimote Timer,Started Estimote Service at,08/05/2019 18:12:31.343
Estimote Timer,No Activity at 4,08/05/2019 18:12:31.357
Estimote Sensor,Killed Sensor at,08/05/2019 18:12:46.384
Estimote Service,Killed Estimote Service at,08/05/2019 18:12:46.396
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:13:47.937
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:14:18.015
Estimote Timer,Started Estimote Service at,08/05/2019 18:14:31.344
Estimote Timer,No Activity at 5,08/05/2019 18:14:31.360
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:14:31.371
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:14:31.384
Estimote Timer,Started Estimote Service at,08/05/2019 18:17:36.565
Estimote Timer,No Activity at 1,08/05/2019 18:17:36.578
Estimote Sensor,Killed Sensor at,08/05/2019 18:17:51.605
Estimote Service,Killed Estimote Service at,08/05/2019 18:17:51.618
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:18:47.939
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:19:17.999
Estimote Timer,Started Estimote Service at,08/05/2019 18:19:36.566
Estimote Timer,No Activity at 2,08/05/2019 18:19:36.580
Estimote Sensor,Killed Sensor at,08/05/2019 18:19:51.603
Estimote Service,Killed Estimote Service at,08/05/2019 18:19:51.616
Estimote Timer,Started Estimote Service at,08/05/2019 18:21:36.568
Estimote Timer,No Activity at 3,08/05/2019 18:21:36.582
Estimote Sensor,Killed Sensor at,08/05/2019 18:21:51.607
Estimote Service,Killed Estimote Service at,08/05/2019 18:21:51.620
Estimote Timer,Started Estimote Service at,08/05/2019 18:23:36.569
Estimote Timer,No Activity at 4,08/05/2019 18:23:36.583
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:23:47.941
Estimote Sensor,Killed Sensor at,08/05/2019 18:23:51.609
Estimote Service,Killed Estimote Service at,08/05/2019 18:23:51.620
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:24:18.016
Estimote Timer,Started Estimote Service at,08/05/2019 18:25:36.572
Estimote Timer,No Activity at 5,08/05/2019 18:25:36.586
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:25:36.596
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:25:36.608
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:28:47.942
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:29:18.015
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:33:47.944
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:34:18.006
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:38:47.944
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:39:18.244
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:43:47.946
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:44:18.017
Estimote Timer,Started Estimote Service at,08/05/2019 18:45:28.805
Estimote Timer,No Activity at 1,08/05/2019 18:45:28.821
Estimote Sensor,Killed Sensor at,08/05/2019 18:45:43.846
Estimote Service,Killed Estimote Service at,08/05/2019 18:45:43.862
Estimote Timer,Started Estimote Service at,08/05/2019 18:47:28.806
Estimote Timer,No Activity at 2,08/05/2019 18:47:28.822
Estimote Sensor,Killed Sensor at,08/05/2019 18:47:43.847
Estimote Service,Killed Estimote Service at,08/05/2019 18:47:43.872
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:48:47.947
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:49:18.005
Estimote Timer,Started Estimote Service at,08/05/2019 18:49:28.806
Estimote Timer,No Activity at 3,08/05/2019 18:49:28.843
Estimote Sensor,Killed Sensor at,08/05/2019 18:49:43.869
Estimote Service,Killed Estimote Service at,08/05/2019 18:49:43.881
Estimote Timer,Started Estimote Service at,08/05/2019 18:51:28.806
Estimote Timer,No Activity at 4,08/05/2019 18:51:28.822
Estimote Sensor,Killed Sensor at,08/05/2019 18:51:43.881
Estimote Service,Killed Estimote Service at,08/05/2019 18:51:43.893
Estimote Timer,Started Estimote Service at,08/05/2019 18:53:28.807
Estimote Timer,No Activity at 5,08/05/2019 18:53:28.823
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:53:28.834
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:53:28.850
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:53:47.949
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:54:18.022
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:58:47.950
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:59:18.020
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:03:47.952
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:04:18.013
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:08:47.953
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:09:18.015
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:13:47.954
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:14:18.020
Main Activity,Restarted Estimote Timer at,08/05/2019 19:49:07.177
Estimote Timer,Started Estimote Service at,08/05/2019 19:49:07.906
Estimote Timer,No Activity at 1,08/05/2019 19:49:07.933
Main Activity,Failed to unregister battery information at,08/05/2019 19:49:11.352
Main Activity,Started Heart Rate Timer at,08/05/2019 19:49:20.746
Main Activity,Started Accelerometer Sensor at,08/05/2019 19:49:20.782
Main Activity,Started Pedometer Sensor at,08/05/2019 19:49:20.816
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:49:21.181
Estimote Timer,Started Estimote Service at,08/05/2019 19:49:21.437
Estimote Timer,No Activity at 1,08/05/2019 19:49:21.525
Estimote Sensor,Killed Sensor at,08/05/2019 19:49:38.600
Estimote Service,Killed Estimote Service at,08/05/2019 19:49:38.616
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:49:53.020
Main Thread,Enabled an Internet Connection at,08/05/2019 19:50:30.725
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 19:50:30.866
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 19:50:30.867
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 19:50:30.868
Main Thread,Enabled an Internet Connection at,08/05/2019 19:50:31.133
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:50:31.323
Main Activity,Restarted Heart Rate Timer at,08/06/2019 06:05:32.688
Main Activity,Restarted Accelerometer Sensor at,08/06/2019 06:05:32.709
Main Activity,Restarted Estimote Timer at,08/06/2019 06:05:32.761
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:05:32.955
Estimote Timer,Started Estimote Service at,08/06/2019 06:05:33.035
Estimote Timer,No Activity at 1,08/06/2019 06:05:33.064
Estimote Sensor,Killed Sensor at,08/06/2019 06:05:48.459
Estimote Service,Killed Estimote Service at,08/06/2019 06:05:48.470
Main Activity,Failed to unregister battery information at,08/06/2019 06:05:49.742
Main Thread,Wifi is disabled at,08/06/2019 06:05:54.697
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/06/2019 06:05:54.726
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/06/2019 06:05:54.727
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/06/2019 06:05:54.728
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/06/2019 06:05:54.810
Estimote Timer,Stopped Estimote Timer at,08/06/2019 06:05:54.838
Main Thread,Wifi is disabled at,08/06/2019 06:05:57.011
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/06/2019 06:05:57.037
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/06/2019 06:05:57.038
Sleep Button,Started Estimote Sensor while NOT charging at,08/06/2019 06:05:57.039
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:05:57.164
Estimote Timer,Started Estimote Service at,08/06/2019 06:05:57.218
Estimote Timer,No Activity at 1,08/06/2019 06:05:57.249
