Screen, Action, Date --- Time
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 16:03:18.647
Main Activity,'Start' Button Tapped at,08/05/2019 16:03:33.590
Pain EMA,'Back' Button Tapped at,08/05/2019 16:03:37.712
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 16:03:58.497
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 17:32:12.037
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 17:58:47.825
Main Activity,'Start' Button Tapped at,08/05/2019 19:49:09.931
Main Activity,'Start' Button Tapped at,08/05/2019 19:49:25.747
Main Activity,'Start' Button Tapped at,08/05/2019 19:49:26.637
Pain EMA,'Back' Button Tapped at,08/05/2019 19:49:30.886
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 19:50:30.726
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 19:50:31.134
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 06:05:54.701
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 06:05:57.012
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 06:15:51.964
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 06:16:39.408
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 08:57:10.358
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 09:00:13.793
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 09:48:50.683
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 10:08:00.445
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 12:01:10.324
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 12:19:44.311
Low Battery,Started at,08/06/2019 16:17:32.261
Low Battery,Dismissed at,08/06/2019 16:17:38.385
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 16:17:39.877
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 16:37:00.612
Low Battery,Started at,08/06/2019 16:46:23.332
Low Battery,Dismissed at,08/06/2019 17:05:03.823
Low Battery,Started at,08/06/2019 17:06:23.748
Main Activity,'Sleep' Button Tapped while charging at,08/06/2019 19:12:19.851
