Date --- Time, Charging State, Battery Level
08/05/2019 15:40:45.318, Unplugged,87
08/05/2019 15:40:50.281,Plugged,87
08/05/2019 15:40:54.257,Plugged,88
08/05/2019 15:40:57.218, Unplugged,87
08/05/2019 15:41:08.837, Unplugged,87
08/05/2019 15:43:04.986,Plugged,86
08/05/2019 15:43:06.253,Plugged,86
08/05/2019 15:46:39.452, Unplugged,93
08/05/2019 15:46:44.369,Plugged,93
08/05/2019 15:47:07.334, Unplugged,93
08/05/2019 15:47:21.364, Unplugged,93
08/05/2019 15:48:21.705, Unplugged,94
08/05/2019 15:48:26.546,Plugged,94
08/05/2019 15:48:30.500, Unplugged,94
08/05/2019 15:48:50.483,Plugged,93
08/05/2019 16:07:37.047, Unplugged,90
08/05/2019 16:10:54.774, Unplugged,95
08/05/2019 16:11:00.080,Plugged,95
08/05/2019 16:11:31.662, Unplugged,96
08/05/2019 16:12:14.954, Unplugged,96
08/05/2019 17:47:57.052, Unplugged,80
08/05/2019 17:52:57.054, Unplugged,79
08/05/2019 17:57:57.057, Unplugged,78
08/05/2019 18:02:57.058, Unplugged,78
08/05/2019 18:07:57.059, Unplugged,77
08/05/2019 18:12:57.062, Unplugged,76
08/05/2019 18:17:57.063, Unplugged,75
08/05/2019 18:22:57.064, Unplugged,75
08/05/2019 18:27:57.065, Unplugged,74
08/05/2019 18:32:57.066, Unplugged,73
08/05/2019 18:37:57.067, Unplugged,73
08/05/2019 18:42:57.069, Unplugged,72
08/05/2019 18:47:57.070, Unplugged,71
08/05/2019 18:52:57.072, Unplugged,71
08/05/2019 18:57:57.073, Unplugged,70
08/05/2019 19:02:57.074, Unplugged,69
08/05/2019 19:07:57.077, Unplugged,69
08/05/2019 19:12:57.079, Unplugged,68
08/05/2019 19:17:57.081, Unplugged,68
08/05/2019 19:22:57.083, Unplugged,67
08/05/2019 19:49:13.009, Unplugged,64
08/05/2019 19:50:25.532,Plugged,64
08/05/2019 19:50:26.515, Unplugged,64
08/05/2019 19:50:27.164,Plugged,64
08/06/2019 00:13:04.830, Unplugged,100
08/06/2019 00:15:20.345, Unplugged,99
08/06/2019 00:15:28.441, Unplugged,99
08/06/2019 00:20:28.441, Unplugged,98
08/06/2019 00:25:28.444, Unplugged,96
08/06/2019 02:23:06.092, Unplugged,91
08/06/2019 02:26:00.294, Unplugged,90
08/06/2019 02:26:03.236, Unplugged,90
08/06/2019 02:31:03.238, Unplugged,90
08/06/2019 02:36:03.238, Unplugged,89
08/06/2019 02:41:03.238, Unplugged,89
08/06/2019 02:46:03.239, Unplugged,88
08/06/2019 02:51:03.241, Unplugged,87
08/06/2019 02:54:20.639, Unplugged,87
08/06/2019 02:59:20.637, Unplugged,86
08/06/2019 03:04:20.637, Unplugged,84
08/06/2019 03:09:20.638, Unplugged,83
08/06/2019 03:14:20.640, Unplugged,82
08/06/2019 03:19:20.642, Unplugged,80
08/06/2019 03:24:20.644, Unplugged,79
08/06/2019 05:55:43.897, Unplugged,71
08/06/2019 06:09:17.163, Unplugged,69
08/06/2019 06:25:33.413, Unplugged,67
08/06/2019 06:30:33.415, Unplugged,66
08/06/2019 06:35:33.416, Unplugged,65
08/06/2019 06:40:33.418, Unplugged,65
08/06/2019 06:45:33.420, Unplugged,64
08/06/2019 06:50:33.421, Unplugged,64
08/06/2019 06:55:33.423, Unplugged,63
08/06/2019 07:00:33.425, Unplugged,62
08/06/2019 07:05:33.428, Unplugged,62
08/06/2019 07:10:33.430, Unplugged,60
08/06/2019 07:15:33.431, Unplugged,60
08/06/2019 07:20:33.435, Unplugged,59
08/06/2019 07:25:33.436, Unplugged,58
08/06/2019 07:30:33.439, Unplugged,58
08/06/2019 07:35:33.439, Unplugged,57
08/06/2019 07:40:33.440, Unplugged,56
08/06/2019 07:45:33.442, Unplugged,55
08/06/2019 07:50:33.442, Unplugged,55
08/06/2019 08:03:55.728, Unplugged,54
08/06/2019 08:08:55.722, Unplugged,53
08/06/2019 08:13:55.725, Unplugged,53
08/06/2019 08:18:55.727, Unplugged,52
08/06/2019 08:23:55.728, Unplugged,51
08/06/2019 08:28:55.729, Unplugged,50
08/06/2019 08:33:55.730, Unplugged,49
08/06/2019 09:07:36.723, Unplugged,46
08/06/2019 09:12:36.724, Unplugged,45
08/06/2019 09:17:36.725, Unplugged,44
08/06/2019 09:22:36.727, Unplugged,44
08/06/2019 09:27:36.729, Unplugged,43
08/06/2019 09:32:36.730, Unplugged,43
08/06/2019 09:37:36.731, Unplugged,42
08/06/2019 09:42:36.733, Unplugged,42
08/06/2019 09:47:36.732, Unplugged,41
08/06/2019 09:52:36.734, Unplugged,40
08/06/2019 09:57:36.736, Unplugged,40
08/06/2019 10:02:36.738, Unplugged,39
08/06/2019 10:07:36.740, Unplugged,38
08/06/2019 10:12:36.742, Unplugged,38
08/06/2019 10:17:36.744, Unplugged,37
08/06/2019 10:22:36.746, Unplugged,36
08/06/2019 10:27:36.748, Unplugged,36
08/06/2019 10:32:36.749, Unplugged,35
08/06/2019 10:37:36.751, Unplugged,34
08/06/2019 10:42:36.752, Unplugged,34
08/06/2019 10:47:36.754, Unplugged,33
08/06/2019 10:52:36.755, Unplugged,33
08/06/2019 10:57:36.755, Unplugged,32
08/06/2019 11:02:36.757, Unplugged,31
08/06/2019 11:07:36.759, Unplugged,31
08/06/2019 11:12:36.761, Unplugged,30
08/06/2019 11:17:36.762, Unplugged,30
08/06/2019 11:22:36.763, Unplugged,29
08/06/2019 11:27:36.764, Unplugged,29
08/06/2019 11:32:36.764, Unplugged,28
08/06/2019 11:37:36.766, Unplugged,27
08/06/2019 11:55:41.308, Unplugged,26
08/06/2019 12:00:41.309, Unplugged,25
08/06/2019 12:05:41.310, Unplugged,25
08/06/2019 12:10:41.311, Unplugged,24
08/06/2019 12:15:41.312, Unplugged,24
08/06/2019 12:20:41.313, Unplugged,23
08/06/2019 12:25:41.314, Unplugged,22
08/06/2019 12:30:41.316, Unplugged,22
08/06/2019 12:35:41.317, Unplugged,21
08/06/2019 12:40:41.318, Unplugged,21
08/06/2019 12:45:41.319, Unplugged,20
08/06/2019 12:50:41.320, Unplugged,19
08/06/2019 12:55:41.323, Unplugged,18
08/06/2019 13:00:41.323, Unplugged,17
08/06/2019 13:05:41.325, Unplugged,17
08/06/2019 13:10:41.327, Unplugged,16
08/06/2019 13:15:41.328, Unplugged,15
08/06/2019 13:20:41.331, Unplugged,14
08/06/2019 13:25:41.331, Unplugged,13
08/06/2019 13:30:41.333, Unplugged,12
08/06/2019 13:35:41.334, Unplugged,11
08/06/2019 13:40:41.334, Unplugged,9
08/06/2019 13:45:41.336, Unplugged,8
08/06/2019 13:50:41.337, Unplugged,7
08/06/2019 13:55:41.339, Unplugged,5
