Screen, Action, Date --- Time
Estimote Timer,Started Estimote Service at,08/05/2019 15:42:48.303
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:42:48.286
Estimote Timer,Starting the Estimote,08/05/2019 15:42:48.468
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:42:52.979
Main Thread,Enabled an Internet Connection at,08/05/2019 15:42:53.083
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:42:53.142
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:42:53.145
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:42:53.147
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:42:53.969
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:42:54.016
Estimote Sensor,Killed Sensor at,08/05/2019 15:43:05.460
Estimote Service,Killed Estimote Service at,08/05/2019 15:43:05.505
Main Activity,Started Heart Rate Timer at,08/05/2019 15:43:33.737
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:43:33.785
Main Activity,Started Pedometer Sensor at,08/05/2019 15:43:33.816
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:43:34.285
Estimote Timer,Started Estimote Service at,08/05/2019 15:43:34.524
Estimote Timer,No Activity at 1,08/05/2019 15:43:34.640
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:43:38.791
Main Thread,Enabled an Internet Connection at,08/05/2019 15:43:38.935
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:43:38.986
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:43:38.989
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:43:38.992
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:43:39.500
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:43:39.534
Main Activity,Failed to unregister battery information at,08/05/2019 15:43:40.967
Estimote Sensor,Killed Sensor at,08/05/2019 15:43:52.181
Estimote Service,Killed Estimote Service at,08/05/2019 15:43:52.199
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:43:59.629
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:43:59.677
Main Activity,Restarted Estimote Timer at,08/05/2019 15:43:59.714
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:44:00.227
Estimote Timer,Started Estimote Service at,08/05/2019 15:44:00.323
Estimote Timer,No Activity at 1,08/05/2019 15:44:00.440
Estimote Sensor,Killed Sensor at,08/05/2019 15:44:15.809
Estimote Service,Killed Estimote Service at,08/05/2019 15:44:15.829
Heart Rate Sensor,Killed Sensor at,08/05/2019 15:44:30.694
Main Activity,Failed to unregister battery information at,08/05/2019 15:44:39.143
Main Activity,Started Heart Rate Timer at,08/05/2019 15:44:46.048
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:44:46.083
Main Activity,Started Pedometer Sensor at,08/05/2019 15:44:46.125
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:44:46.596
Estimote Timer,Started Estimote Service at,08/05/2019 15:44:46.903
Estimote Timer,No Activity at 1,08/05/2019 15:44:46.990
Main Activity,Failed to unregister battery information at,08/05/2019 15:44:49.561
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:44:51.080
Main Thread,Enabled an Internet Connection at,08/05/2019 15:44:51.208
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:44:51.259
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:44:51.263
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:44:51.266
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:44:51.729
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:44:51.794
Main Activity,Failed to unregister battery information at,08/05/2019 15:44:58.095
Estimote Sensor,Killed Sensor at,08/05/2019 15:45:03.928
Estimote Service,Killed Estimote Service at,08/05/2019 15:45:03.958
Main Activity,Started Heart Rate Timer at,08/05/2019 15:45:09.599
Main Activity,Started Accelerometer Sensor at,08/05/2019 15:45:09.623
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:45:10.306
Estimote Timer,Started Estimote Service at,08/05/2019 15:45:10.380
Estimote Timer,No Activity at 1,08/05/2019 15:45:10.529
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:45:19.688
Main Thread,Enabled an Internet Connection at,08/05/2019 15:45:19.723
Sleep Button,Stopped Heart Rate Sensor while charging at,08/05/2019 15:45:19.843
Sleep Button,Stopped Accelerometer Sensor while charging at,08/05/2019 15:45:19.847
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 15:45:19.851
Estimote Timer,Stopped Estimote Timer at,08/05/2019 15:45:20.323
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/05/2019 15:45:20.355
Estimote Sensor,Killed Sensor at,08/05/2019 15:45:25.914
Estimote Service,Killed Estimote Service at,08/05/2019 15:45:25.928
Main Activity,Restarted Heart Rate Timer at,08/05/2019 15:46:32.450
Main Activity,Restarted Accelerometer Sensor at,08/05/2019 15:46:32.486
Main Activity,Restarted Estimote Timer at,08/05/2019 15:46:32.518
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 15:46:32.574
Estimote Timer,Started Estimote Service at,08/05/2019 15:46:32.662
Estimote Timer,No Activity at 1,08/05/2019 15:46:32.683
Main Thread,Uploading to BESI Basestation at,08/05/2019 15:46:41.122
Estimote Sensor,Killed Sensor at,08/05/2019 15:46:47.742
Estimote Service,Killed Estimote Service at,08/05/2019 15:46:47.758
Heart Rate Sensor,Killed Sensor at,08/05/2019 15:47:02.712
Estimote Timer,Started Estimote Service at,08/05/2019 15:48:32.662
Estimote Timer,No Activity at 2,08/05/2019 15:48:32.677
Estimote Sensor,Killed Sensor at,08/05/2019 15:48:47.731
Estimote Service,Killed Estimote Service at,08/05/2019 15:48:47.744
Main Thread,Wifi is disabled at,08/05/2019 15:49:19.728
